Wall time,Step,Value
1683828941.6835554,3031,16066.8828125
1683828962.7693863,3039,63898.59765625
1683828969.1842391,3042,43442.953125
1683829031.6849866,3066,16216.0888671875
1683829043.985481,3070,27673.25390625
1683829047.750505,3072,18223.2421875
1683829121.477167,3100,47286.71875
1683829181.2968132,3123,4262.56787109375
1683829221.8110485,3138,24331.625
1683829270.0879595,3156,38466.8203125
1683829285.5906112,3162,25360.900390625
1683829326.5828643,3178,20104.82421875
1683829373.2604368,3196,23881.40625
1683829374.6175218,3197,29971.26171875
1683829463.826404,3231,14235.20703125
1683829490.8132596,3241,13617.814453125
1683829496.5580935,3244,20118.654296875
1683829501.3208325,3245,16574.130859375
1683829506.5136335,3247,19695.546875
1683829511.971979,3248,15631.0810546875
1683829576.0780082,3273,13942.85546875
1683829661.8425746,3306,18164.060546875
1683829684.601772,3314,16213.728515625
1683829722.856702,3328,13574.2744140625
1683829723.790595,3329,17965.39453125
1683829769.0879965,3346,19459.841796875
1683829842.884202,3375,16109.91015625
1683829848.44101,3377,8613.4580078125
1683829875.027804,3387,10237.2861328125
1683829917.3067453,3404,15821.3427734375
1683829932.3786054,3409,11740.8203125
1683829991.1139884,3431,15243.453125
1683830010.5125632,3439,12754.736328125
1683830039.7945104,3450,14619.3642578125
1683830046.586398,3452,8418.439453125
1683830065.1105318,3459,8863.3388671875
1683830081.2127094,3465,8530.61328125
1683830098.8396769,3472,7270.3544921875
1683830113.53365,3478,11776.6943359375
1683830119.8656385,3481,13175.3525390625
1683830166.7035527,3498,12305.4921875
1683830197.889496,3510,10689.654296875
1683830206.9474802,3513,14305.845703125
1683830269.297005,3538,7633.9384765625
1683830285.434976,3544,10384.8828125
1683830338.266678,3564,7532.50537109375
1683830381.6080518,3581,6867.46044921875
1683830434.7529078,3601,6041.8544921875
1683830482.2414284,3619,7341.52685546875
1683830486.033538,3621,7658.787109375
1683830491.0238993,3623,6338.9765625
1683830500.0911615,3626,8293.462890625
1683830509.8872988,3629,4494.697265625
1683830550.472255,3646,6834.86181640625
1683830580.6614842,3657,6511.625
1683830618.5464182,3671,6259.580078125
1683830700.7804236,3703,5984.60888671875
1683830764.2293077,3727,5473.0927734375
1683830777.7952826,3731,7451.4248046875
1683830797.894246,3739,7787.025390625
1683830807.4102285,3742,4544.73583984375
1683830889.2059772,3773,6779.9931640625
1683830911.505937,3781,6120.3095703125
1683830943.875877,3794,7361.21875
1683830958.5940473,3799,7123.208984375
1683830995.806211,3815,5841.669921875
1683831009.1126847,3820,5132.6044921875
1683831018.2226682,3822,4453.13134765625
1683831040.4983928,3832,4574.90185546875
1683831054.4158986,3836,8104.2744140625
1683831129.4164338,3865,5574.47216796875
1683831144.3661828,3870,7433.130859375
1683831161.034713,3877,5584.3076171875
1683831296.0557506,3929,6297.853515625
1683831313.2519069,3936,8409.71875
1683831325.7968843,3940,4837.783203125
1683831351.7938302,3951,6803.06005859375
1683831368.730294,3957,5268.1357421875
1683831385.1206982,3963,6430.353515625
1683831442.8016973,3985,6508.1689453125
1683831467.217898,3996,5965.6328125
