Wall time,Step,Value
1683828969.1842391,3042,-126.38702392578124
1683829031.6849866,3066,-130.9970703125
1683829043.985481,3070,-102.08490753173828
1683829047.750505,3072,-105.40565490722656
1683829121.477167,3100,-191.4823455810547
1683829181.2968132,3123,-121.3833999633789
1683829221.8110485,3138,-164.15283203125
1683829270.0879595,3156,-181.7264404296875
1683829285.5906112,3162,-89.49188232421875
1683829326.5828643,3178,-164.1750946044922
1683829373.2604368,3196,-130.5380859375
1683829374.6175218,3197,-171.62733459472656
1683829463.826404,3231,-189.16976928710935
1683829490.8132596,3241,-148.22357177734375
1683829496.5580935,3244,-142.26345825195312
1683829501.3208325,3245,-129.81307983398438
1683829506.5136335,3247,-182.4070587158203
1683829511.971979,3248,-181.9501800537109
1683829576.0780082,3273,-152.17320251464844
1683829661.8425746,3306,-188.01258850097656
1683829684.601772,3314,-142.30288696289062
1683829722.856702,3328,-162.77589416503906
1683829723.790595,3329,-168.96824645996094
1683829769.0879965,3346,-210.79168701171875
1683829842.884202,3375,-123.4372787475586
1683829848.44101,3377,-93.81665802001952
1683829875.027804,3387,-112.72064971923828
1683829917.3067453,3404,-196.15313720703125
1683829932.3786054,3409,-190.0497283935547
1683829991.1139884,3431,-190.36366271972656
1683830010.5125632,3439,-128.15472412109375
1683830039.7945104,3450,-141.2075958251953
1683830046.586398,3452,-140.3944854736328
1683830065.1105318,3459,-161.6390838623047
1683830081.2127094,3465,-195.23101806640625
1683830098.8396769,3472,-167.63377380371094
1683830113.53265,3478,-165.96177673339844
1683830119.8656385,3481,-170.47079467773438
1683830166.7035527,3498,-161.1295623779297
1683830197.889496,3510,-156.68907165527344
1683830206.9474802,3513,-125.9520034790039
1683830269.297005,3538,-161.65969848632812
1683830285.434976,3544,-167.70660400390625
1683830338.266678,3564,-156.58555603027344
1683830381.6080518,3581,-133.5262451171875
1683830434.7529078,3601,-151.0885009765625
1683830482.2414284,3619,-205.72422790527344
1683830486.033538,3621,-201.89761352539065
1683830491.0238993,3623,-191.52786254882807
1683830500.0911615,3626,-188.8018493652344
1683830509.8872988,3629,-231.11805725097656
1683830550.472255,3646,-138.2236328125
1683830580.6614842,3657,-124.57566833496094
1683830618.5464182,3671,-139.50059509277344
1683830700.7804236,3703,-126.76693725585938
1683830764.2293077,3727,-169.82798767089844
1683830777.7952826,3731,-129.025390625
1683830797.894246,3739,-127.2260971069336
1683830807.4102285,3742,-165.2709503173828
1683830889.2059772,3773,-178.18548583984375
1683830911.505937,3781,-152.6976318359375
1683830943.875877,3794,-156.21461486816406
1683830958.593048,3799,-142.4002227783203
1683830995.806211,3815,-147.43692016601562
1683831009.1126847,3820,-138.56106567382812
1683831018.2226682,3822,-179.28993225097656
1683831040.4983928,3832,-156.05276489257812
1683831054.4158986,3836,-218.39312744140625
1683831129.415434,3865,-188.8722686767578
1683831144.3661828,3870,-170.11399841308594
1683831161.034713,3877,-160.1337127685547
1683831296.0557506,3929,-144.94723510742188
1683831313.2509074,3936,-160.8921356201172
1683831325.7968843,3940,-167.41986083984375
1683831351.7938302,3951,-190.35618591308597
1683831368.730294,3957,-166.5908660888672
1683831385.1206982,3963,-204.05252075195312
1683831442.800697,3985,-143.14918518066406
1683831467.217898,3996,-174.985107421875
