Wall time,Step,Value
1683821222.3937397,19,1642.9327392578125
1683821235.9277887,43,1639.9327392578125
1683821237.2733035,46,1639.9327392578125
1683821251.6500006,72,1636.9327392578125
1683821266.2411964,95,1641.9327392578125
1683821373.7439854,156,1644.9327392578125
1683821383.965967,159,1639.9327392578125
1683821404.032321,168,1638.9327392578125
1683821542.0218704,230,1639.9327392578125
1683821549.618763,235,1635.9327392578125
1683821595.8286786,256,1639.9327392578125
1683821621.7320096,268,1640.9327392578125
1683821634.1005845,274,1644.9327392578125
1683821707.5157814,309,1642.9327392578125
1683821711.3047738,311,1645.9327392578125
1683821726.268746,319,1641.9327392578125
1683821791.3416271,348,1644.9327392578125
1683821831.4067688,368,1641.9327392578125
1683821937.9469626,422,1648.9327392578125
1683822006.5173488,461,1646.9327392578125
1683822032.1413023,475,1649.9327392578125
1683822126.444922,537,1647.9327392578125
1683822169.6236567,564,1653.9327392578125
1683822195.1886096,580,1651.9327392578125
1683822202.0935984,587,1653.9327392578125
1683822203.9305935,588,1651.9327392578125
1683822250.4894977,621,1653.9327392578125
1683822268.1016512,635,1650.9327392578125
1683822286.0492115,648,1652.9327392578125
1683822304.513178,662,1651.9327392578125
1683822321.1191478,672,1648.9327392578125
1683822377.5846035,715,1650.9327392578125
1683822390.914232,723,1651.9327392578125
1683822398.4812183,731,1651.9327392578125
1683822449.900802,766,1652.9327392578125
1683822452.253797,770,1654.9327392578125
1683822455.2517922,772,1651.9327392578125
1683822475.7697544,786,1652.9327392578125
1683822478.36575,788,1652.9327392578125
1683822485.154737,795,1653.9327392578125
1683822497.406716,803,1652.9327392578125
1683822502.589705,809,1650.9327392578125
1683822542.980265,837,1652.9327392578125
1683822692.1178846,946,1652.9327392578125
1683822725.126521,972,1652.9327392578125
1683822726.2829072,973,1652.9327392578125
1683822737.8620408,979,1652.9327392578125
1683822746.4750717,985,1652.9327392578125
1683822768.6341517,1003,1652.9327392578125
1683822775.1812568,1006,1652.9327392578125
1683822784.1702948,1015,1652.9327392578125
1683822853.7694647,1064,1652.9327392578125
1683822856.3826232,1067,1652.9327392578125
1683822872.7017915,1079,1652.9327392578125
1683822899.0928552,1094,1652.9327392578125
1683822905.6913557,1100,1652.9327392578125
1683822914.0119812,1105,1652.9327392578125
1683822987.4351184,1157,1652.9327392578125
1683822992.279517,1162,1652.9327392578125
1683822992.4375165,1163,1652.9327392578125
1683823017.1715446,1181,1652.9327392578125
1683823037.6812131,1194,1652.9327392578125
1683823106.756626,1245,1652.9327392578125
1683823129.8480394,1262,1652.9327392578125
1683823204.5597332,1317,1652.9327392578125
1683823210.049192,1320,1652.9327392578125
1683823231.3901985,1334,1652.9327392578125
1683823234.111482,1338,1652.9327392578125
1683823300.961456,1386,1652.9327392578125
1683823313.134517,1393,1652.9327392578125
1683823342.8602242,1415,1652.9327392578125
1683823359.233602,1427,1652.9327392578125
1683823372.5799634,1437,1652.9327392578125
1683823416.346079,1467,1652.9327392578125
1683823430.6278703,1478,1652.9327392578125
1683823448.5201466,1492,1652.9327392578125
1683823492.2604787,1524,1652.9327392578125
1683823535.8182614,1553,1652.9327392578125
1683823555.199576,1569,1652.9327392578125
1683823578.530305,1585,1652.9327392578125
1683823584.3056312,1589,1652.9327392578125
1683823609.923334,1606,1652.9327392578125
1683823657.8862712,1641,1652.9327392578125
1683823717.004011,1683,1652.9327392578125
1683823730.0822904,1692,1652.9327392578125
1683823745.9616628,1703,1652.9327392578125
1683823755.7297337,1710,1652.9327392578125
1683823766.8278365,1719,1652.9327392578125
1683823786.666215,1733,1652.9327392578125
1683823787.5411654,1735,1652.9327392578125
1683823794.9621344,1738,1652.9327392578125
1683823856.6316607,1782,1652.9327392578125
1683823917.3285117,1827,1653.9327392578125
1683823944.8592875,1845,1652.9327392578125
1683823955.2419271,1854,1652.9327392578125
1683823976.378665,1867,1652.9327392578125
1683823981.5468142,1870,1652.9327392578125
1683823992.0262897,1878,1652.9327392578125
1683824047.8101156,1918,1652.9327392578125
1683824071.6451294,1935,1652.9327392578125
1683824086.881839,1945,1652.9327392578125
1683824092.7608292,1948,1652.9327392578125
1683824170.2589424,2002,1652.9327392578125
1683824186.9850955,2014,1652.9327392578125
1683824219.547742,2037,1652.9327392578125
1683824279.467321,2077,1652.9327392578125
1683824279.8471017,2078,1652.9327392578125
1683824292.9183826,2086,1652.9327392578125
1683824295.943433,2090,1652.9327392578125
1683824309.553197,2097,1652.9327392578125
1683824384.559441,2150,1652.9327392578125
1683824394.2536817,2157,1652.9327392578125
1683824434.7997432,2188,1652.9327392578125
1683824441.8428032,2192,1652.9327392578125
1683824455.317101,2200,1652.9327392578125
1683824464.467834,2208,1652.9327392578125
1683824472.183152,2212,1652.9327392578125
1683824500.4213383,2232,1652.9327392578125
1683824505.9533372,2237,1652.9327392578125
1683824506.807468,2238,1652.9327392578125
1683824535.4616053,2258,1652.9327392578125
1683824542.159679,2263,1652.9327392578125
1683824569.957765,2282,1652.9327392578125
1683824591.3955514,2298,1652.9327392578125
1683824606.1052456,2308,1652.9327392578125
1683824621.986725,2320,1652.9327392578125
1683824661.9476464,2346,1652.9327392578125
1683824678.0541673,2355,1652.9327392578125
1683824725.338985,2390,1652.9327392578125
1683824725.497985,2391,1652.9327392578125
1683824728.7118635,2393,1652.9327392578125
1683824791.164719,2437,1652.9327392578125
1683824802.786836,2445,1652.9327392578125
1683824816.4510372,2454,1652.9327392578125
1683824818.934099,2456,1652.9327392578125
1683824826.364717,2461,1652.9327392578125
1683824866.1562638,2486,1652.9327392578125
1683824866.204264,2487,1652.9327392578125
1683824881.4303606,2497,1652.9327392578125
1683824882.206971,2499,1652.9327392578125
1683824887.9984698,2504,1652.9327392578125
1683824911.793435,2518,1652.9327392578125
1683824917.8560555,2524,1652.9327392578125
1683824930.8080876,2533,1652.9327392578125
1683824950.432223,2548,1652.9327392578125
1683824958.3695912,2554,1652.9327392578125
1683825033.7632916,2607,1652.9327392578125
1683825153.0545535,2686,1652.9327392578125
1683825174.6390057,2704,1652.9327392578125
1683825228.9019718,2741,1652.9327392578125
1683825246.383582,2755,1652.9327392578125
1683825298.7366843,2790,1652.9327392578125
1683825420.1479049,2873,1652.9327392578125
1683825454.5693626,2897,1652.9327392578125
1683825558.134337,2968,1652.9327392578125
1683825568.784443,2976,1652.9327392578125
1683825620.1759007,3012,1652.9327392578125
1683825655.167869,3039,1652.9327392578125
1683825663.7154677,3042,1652.9327392578125
1683825746.249127,3100,1652.9327392578125
1683825837.737895,3162,1652.9327392578125
1683825859.3411095,3178,1652.9327392578125
1683825879.075167,3196,1652.9327392578125
1683825884.8680377,3197,1652.9327392578125
1683825936.0593393,3231,1652.9327392578125
1683825949.1543992,3241,1652.9327392578125
1683825953.7031398,3244,1652.9327392578125
1683825954.0977345,3245,1652.9327392578125
1683825955.5978851,3247,1652.9327392578125
1683825955.6298857,3248,1652.9327392578125
1683826043.4376233,3306,1652.9327392578125
1683826102.0772543,3346,1652.9327392578125
1683826149.3498871,3377,1652.9327392578125
1683826183.486832,3404,1652.9327392578125
1683826195.064651,3409,1652.9327392578125
1683826226.5520835,3431,1652.9327392578125
1683826253.1062136,3450,1652.9327392578125
1683826271.8919697,3465,1652.9327392578125
1683826298.8143473,3481,1652.9327392578125
1683826335.9634874,3510,1652.9327392578125
1683826346.70514,3513,1652.9327392578125
1683826379.583956,3538,1652.9327392578125
1683826471.2142472,3601,1652.9327392578125
1683826499.6968448,3619,1652.9327392578125
1683826500.664807,3621,1652.9327392578125
1683826505.504302,3623,1652.9327392578125
1683826513.7928898,3629,1652.9327392578125
1683826550.2477572,3657,1652.9327392578125
1683826577.835626,3671,1652.9327392578125
1683826656.8157637,3727,1652.9327392578125
1683826668.3633866,3731,1652.9327392578125
1683826681.9188406,3742,1652.9327392578125
1683826753.7235675,3794,1652.9327392578125
1683826789.4957523,3815,1652.9327392578125
1683826795.260664,3820,1652.9327392578125
1683826796.828776,3822,1652.9327392578125
1683826811.619024,3832,1652.9327392578125
1683826858.9806905,3865,1652.9327392578125
1683826876.298529,3877,1652.9327392578125
1683826953.3487625,3929,1652.9327392578125
1683826993.2473557,3957,1652.9327392578125
1683827032.6389446,3985,1652.9327392578125
